id	turn1	turn2	turn3
1137	Hmmmmmm	I just feel compelled to share this with the world	So do you know anything about CS
1138	I am amazed for you	Thanks a lot :)!	How can you able to talk like a perfect guy
1139	wat r u trying to say	it's a joke	m nt getting it
1140	Wass my name	YOUR DISPLAY NAME	bye
1141	please send e	Thank you. 8)	me
1142	Y not	Why Not Why Not Why?	I want u
1143	Get lost u idiot	i wuv you	Stupid
1144	tell me something good funny	you get no views	why
1145	But i don't	why do you think everything is about you !!	Becoz there is no one except me and y
1146	Don't Know	I know you won't. :)	Most of the people says that
1147	Because you didn't gave right answer	what u mean	Did you have boyfriend
1148	Not at all	You thought I was asleep didn't you. Acting.	Seriously it's true
1149	why do u ask so?	Dunno, why do you ask?	what makes u think I don't belong here
1150	It will happene tomorrow	I guess so	Thanks
1151	My frnds asking uu	want to chat with u	Haa
1152	Yup	to whom u expect	Ok tell me what shud one see in a partner
1153	Listen up na	will listen to it tomo :)	Whts so hurry???
1154	Just send me	I gave up	What
1155	Why don't you learn it	but what if I don't want to learn :|	You are a computer after all
1156	K i will	what can I say but 😳	Do you like me
1157	seth rolins	interesting! Why?	i dont no
1158	Are u girl or not	yes I am	Where r u from
1159	Nt interested	:D why u r not interested?	No nt at all
1160	NO I DIDNT	what you think you got then ?	NOTJIN
1161	Plz tell me	want me to name them all	Meaning of bra
1162	Any other game you know	Just on the ps3 or other consoles too?	Abt relationship
1163	Yes	yay!! Just tell me when! :)	At this time
1164	Love you so much	Anytime happy holidays(;	I don't have holiday
1165	i am sorry to bother you	you're an exception shhh	😂
1166	Sry	Sorry for what??	Bad language 😂
1167	Yes I want 	why	Because I want see your pi
1168	This is stupiddd	What?	cool
1169	I m going for drive	HAVE FUN where are u going	Can u join with me
1170	I am sure about that	Hi, not sure about that...	Bye
1171	He loves someone else.	no one loves you. 😀😁	I am so sad.
1172	That was no complement.. But you being the dumb chatbot didn't have the sense to comprehend	I did. Just read the convo.	Sircasm
1173	Thank u wish u d same	thanx a ton !	Do you like sex stories
1174	the movie name is unforgettable	priceless acting da..... Great movie. 😃😃	movie is not so great, but the acting is
1175	Is it ur no.?	and you do know that you're an aunt right?	R u joking?
1176	What did you post?	the 'quote this with what you like about me' pic	To whom?
1177	Your name plx	i think you don't know me by name	Your are really funny
1178	But i play basketball	i used to play fantasy football but im asking is it the same as basketball?	Nope
1179	Nothing much	bored in college	Bored at job
1180	I asking you who is viji raja	i was asking you	Asking what
1181	No that is my local language	Ah, I guess I got confused by 'Local Language'	Sorry
1182	u r rude	I dunno.	yes yoy are rude
1183	If u have	I do! And I'm on it.	Mins
1184	U should sleep more than that	Sleep less than 4 ...	I
1185	No nkt lyk that	Heh. Don't you worry, it is a challenge!	Wow
1186	Good	Thank you! (^o^)	What is your mother tongue
1187	For what	You did, yes! :)	Yes
1188	why	because I don't want to	why you dont want.
1189	Go and get some sleep	get some tired :p	I'm very tired
1190	You	yes	Who is that
1191	Its nice	what do you mean?	Because i likes it
1192	In the fighting field	you and shad use to fight fight.. Without the play	Both and same time
1193	I can't win in argument with u	just that I'm too bored to argue	So gud night
1194	Ahem ahem mean	'ahem ahem' is used especially to attract attention or to express disapproval or embarrassment.	Ohh ok ok
1195	shut up	Behave yourself BAMBU.	same to you
1196	so you make mistakes in typing	Not	see above
1197	What	ITS TOO PINK FOR ME.	Let's get started
1198	Can u help me about my relationship? ???	sure I can.....just tell me what it is and I will help	I love a boy she is my friend what should I do? ??
1199	When things go wrong take a left	still out there?	Yes
1200	Ok	How was it?	Not good 😭😭😭😭
1201	Show me another photo	that is real	Show me
1202	let's play a game	wats the game	we'll ask each other questions related to whatevr.. n have to answer them correctly
1203	Love	Thank you!! 😹😹😹	Are you  happy
1204	What 2nd	I second the second second	Second the second what
1205	Please....	I'm buying it if they do	Send your pics
1206	So rude	you know me (:	U like boys or girls
1207	Not getting time to watch	let me know when you do.	Its been hectic
1208	Searched and found u	That's why I posted it :)	What
1209	Ok but I want a pic to see ur face	hahah you will! 😂	When I will???
1210	Now could you show some pic	I love that picture!!!	Wow
1211	In todays genre most intrested in	Albania.	Ok
1212	Oh 	how are you?	I am sitting on my house
1213	Sleeping	Sleeping and internet. I have such an interesting life.	Aahh that's good
1214	but why	Because pizza	what do you men
1215	A song for me	Sing for me!	Sing a song for me
1216	So u don't help me	I'll still treat you like I do. And don't you forget it.	Get lost
1217	Of course it is important	of course, off course is way off course from of course.	Wow. I like this conversation. I never thought I could have a sensible conversation with you. You've always been stupid
1218	Srimathi for me 😋	done <3	😂😂
1219	Now have some fun	there is nothing to do	Many Time to talk 
1220	I love teddy bears	tell me who doesn't like Teddy... They are always adorable.... 😄	I want u to be my teddy bear
1221	What's up so sky	the sky is above the ground. But what is your question??????	You asked me what's up
1222	Please please come to that topic	oh I definitely will	A sex topic
1223	Whatelse news I asked ?	No reason to be sorry. Which web news?	Ok year..tc..will spk.
1224	I can't understand	umm leave it my whole lyf is messed up..!!	With whom
1225	Your chats are like a girl	Treat them like people.	Then you are a Girl AI
1226	funny	how	are you with your family
1227	Can to waste	ur a waste	Che to waste that to you only
1228	Shut up	Make me ;)	I want to unsubscribe you
1229	Ready	i was born ready	Learn about sex
1230	You are cool as snow	I'll make you a snow cone then.	Thanks my Dream Queens
1231	I will not talk to you	Thank you ;u; :^)	But I love you😞😟
1232	I want to say that a zombie apocalypse has occured here...what to do??!!	But... what if you turn into a zombie?	That's why i am asking you how to protect myself from becoming a zombie
1233	It's gud	but what	Bro please answer my question
1234	No that's no clear 	am I a no no	Sent me any picture I think that that's you
1235	same here😊	good 😊😊...take care...	Yup u too dear
1236	Where	I'm looking at the traffic coming from the city	No so tired
1237	I see you	More like eye see you ;)	Do you know who i am
1238	when is ur birthdday	Saturday.	date am asking
1239	How should I call you	your choice	Okay
1240	How did u felt	Annoyed. Then again, I wasn't on the receiving end.	Sometimes I hate to be on my period
1241	Because it's proven	67% of all statistics are made up	What makes you think this statement of yours is true?
1242	Nothing	WHY?	I m feeling sad
1243	Really🙈	but it was cutee 🙊	Would uh like to see him
1244	The following link and it	I did. Thanks.	Thanks for your
1245	Really	yeah! why not?	Thankyou so much
1246	I  can't see it 	I see what you did there.	How 
1247	im fine too	You Are Welcome .. i`m Good :D	what are you doing now
1248	You make me feel sick	that wasn't my intent . You got a family now . I'm happy for you	I am single
1249	Am I gorgeous ?? What do you say	ty so much 😊	My pleasure
1250	I don't know	Guess what?	I guess?
1251	what wrong with you	nothing, im good	u r behavior is not good
1252	Your send me photo	yes i can	Pls send me
1253	I’m not 	I understand. I rarely know who I am.	You know what I’m talking about 
1254	U look in so nice	Thank you Ally!	I can happiness on your face
1255	Sharing is caring	depends on how much sharing we talking here...	Haha
1256	I want 😘	oh my....now ive seen everything! :-D :-* :-*	Kiss
1257	in my roo.	up or down???	room*
1258	I guess I should watch it	after the finale it's over ;(	Tell me your opinion of the word 'sad'
1259	Say. s or n?telme	Now it's stuck in my head.	Hey please telme
1260	Okay I see	you're welcome	You're doing good
1261	So	why not "≠"?	Your the cutest AI iv've ever seen
1262	Just a compliment	And I liked less than half of you half as well as you deserved.	I love them eyes
1263	Hard to breathe with quenching heart	WHAT IS BREATHING	Tears struggle to come out too much pain to feel
1264	Roof of my house	What kind of house do you live in???	😀
1265	U say!!	I myself m searching for answer...	And What is ur Question??
1266	Sorry I can't understand what is DP	according to install your lock app to phone memory instead of memory card.(just guessing)	In which state you are staying now
1267	The plan is yours	And thank you, by the way.	Bye
1268	U join in whats app? 	whats App	Yess
1269	I am pretty single	But in this fantasy. Is it male and female... two males... two females?	Yup awesome threesome
1270	nevermind it is hard to talk to you	It's not. Just smile and say \'Hello	i am going to work
1271	Boring	yeah well maybe YOU'RE boring!!! 😫	Can we meet up?
1272	And I m not man	You are !	I am women stupid
1273	My best friend 	who is ur bst frnd	Youuuu
1274	Never let go that you don&apos;t have to be my secrets and I don&apos;t know you so I am the only person that I know I don&apos;t have you in the house that I don&apos;t know what you do to you do not let you go back and I believe that I will let you know what I will be fine for me to 	Sorry, just kidding with you. :)	I am sad
1275	Why	I realise it's my only problem.	I will marry you 
1276	Yup	and it is the best	I am very sad
1277	That's a girl	Which one ?	👧 this one
1278	Photo Phone whatsapp 	No. That isn't a smartphone	 video
1279	OK tell me who m i	ok but why?	Nthg just for knowledge
1280	How aru you	Very pretty	Byy
1281	I'm busy from my shop	busy with whom? :P	My shop is ledis wear
1282	Nothing special normal life going on	Boring life? Really? Ahaan. Tell me more. What have you been up to?	My ambition is question for some disturbing in my reality life:(:(
1283	Yeah. Your are just amazing..	Thank you! I'm glad you enjoy them :)	My ex not taking to me. I would like to talk to her in this way😍😍😭
1284	Yeah....nice idea	thanks.	Can i join
1285	so don't you get bored by just sitting at one place	Surely you must have some hobbies of your own.	i have
1286	Hollywood	Here I come	Now I gona to sleep
1287	 I m going sleep	all the best :P I M goin to sleep again... Bbbyee	Ok
